1,438064
-1,872210
1,059861
-0,126110
-2,397440
-2,787126
1,962505
4,577570
5,140034
-2,728250
4,816998
-3,737929
-1,520257
-0,796275
-1,072192
-3,071176
2,403874
2,697406
1,899124
-2,978294
-3,403590
0,781202
-3,436899
4,873184
-0,215478
4,374632
2,244107
-2,564105
2,206348
4,708726
-0,562571
-0,553769
-4,074307
-2,628441
1,720493
1,364057
-1,067536
-2,676076
1,941469
5,853882
5,038505
-2,937075
-3,637233
-3,236624
0,417918
2,422899
5,588366
-2,320472
-2,515871
-0,722951
-3,317446
-0,188016
-0,580936
-1,067199
-3,253302
2,392330
1,053792
5,162710
5,700556
1,118001
2,613403
-0,298156
1,956490
5,226922
2,588624
-2,951406
0,313854
-0,481060
2,873758
-0,202959
-3,105017
1,086623
-3,653165
-1,380482
-0,737631
4,454023
-2,127138
-3,639666
5,382216
-0,628832
-0,279217
-2,433534
-2,669980
-2,828549
-0,463080
-0,786545
-3,372902
-3,181003
-0,247296
0,078918
1,946557
-2,949459
-0,365503
-0,305626
-2,646772
2,255841
-0,999631
2,130608
-2,865339
1,902480
1,801098
4,494817
5,046576
0,044199
-2,966127
5,182360
4,949111
1,985466
2,418652
-3,809565
-3,260181
6,137666
4,799388
0,748876
-3,474913
1,649346
-2,699801
-2,678286
2,258087
-2,837624
5,520401
-2,690241
-3,278297
-3,237399
-0,851634
-1,473575
4,881420
-3,443971
-0,440438
2,422409
2,148474
2,240455
-3,576283
4,676115
5,419344
2,108997
1,958927
3,695766
-3,387664
-2,367954
1,956093
-1,617834
1,939205
-0,246503
2,423749
-0,172864
-3,084783
2,681177
0,271094
-0,510538
-1,353546
-0,571166
1,420936
-2,502152
-2,763697
2,232337
5,334880
2,239653
-2,244947
2,049708
-0,144159
-2,767539
-3,356521
-2,395982
2,836275
1,527916
-2,481132
-3,429638
-2,869705
-3,719231
-2,689705
-0,471337
-3,397043
-3,125200
5,538517
4,461563
-1,336704
-3,314131
-3,055579
4,946761
2,220951
2,157994
1,098612
2,416485
1,684385
2,257187
-4,126967
-0,003795
-0,911177
1,187069
0,280622
4,512782
2,495978
5,377231
-3,132499
-3,533429
3,583689
2,268460
5,849593
1,878821
-2,541011
-3,359773
-1,760007
0,725505
-3,373601
-3,436135
4,925144
-2,796398
5,834570
-0,100156
-3,399958
-3,262805
-0,329153
0,952426
-2,437648
2,245932
-3,085749
2,040373
-1,080781
-0,653926
-3,419696
-0,205155
4,599230
-2,265985
0,828151
0,660111
-2,507003
-0,149289
-3,204235
-2,975184
-2,351198
-2,819777
-3,649854
1,698169
2,398753
2,386113
-0,672755
2,273195
4,217590
-1,996525
4,095864
0,490256
-0,479267
2,484895
4,150805
-3,317007
0,021460
2,376718
0,076584
0,975243
4,862179
4,332697
-2,764470
-3,184477
-0,109785
-2,948120
-2,893531
4,824531
-0,634602
5,491774
-0,365191
-2,579045
2,569551
1,762104
-0,561650
0,369754
4,735679
-2,159620
-0,677743
4,245801
0,429317
4,629763
-3,439942
0,789392
-2,904909
0,242954
5,170714
0,699998
-4,404708
0,882195
4,838498
4,623428
5,502955
-2,459381
-3,145957
0,294421
-2,725060
-2,959089
0,338412
2,569461
0,298332
2,063397
2,225282
-0,029086
1,604524
1,915918
2,124311
4,847854
-0,491945
-2,477496
1,592165
-2,688496
-0,405598
-3,406713
-0,062083
2,457255
-0,987603
-0,891225
0,070554
-3,177811
4,025190
-1,181834
1,974631
2,826126
-2,491027
-0,927920
-3,940462
5,230322
-2,384279
0,421382
-0,890334
-2,917898
2,344098
0,617291
5,252137
-2,852375
-2,734420
1,792097
-0,142469
-3,359895
1,833245
2,113429
2,020567
-3,887550
-0,584829
2,204568
-3,380072
2,139433
-0,064440
2,134022
-3,136760
5,255032
-3,316904
-0,706223
5,333085
0,326727
2,527683
4,805880
5,535265
-2,583637
-1,445411
-2,625829
1,385179
4,937354
-3,308188
5,261256
2,245554
-0,802887
0,446554
5,322878
-3,573114
5,404975
-2,758981
0,832872
-2,936254
-2,551939
6,240615
0,001953
-2,067469
0,419266
5,794750
-2,980295
-2,990293
-2,578612
0,214035
2,017176
-0,226886
-3,179514
2,098481
-0,586433
-3,205307
-0,032456
-1,636091
-1,161703
2,169793
5,104702
5,256354
4,668299
-2,770608
-0,795397
-0,101556
-0,299238
-3,181437
2,264451
-3,476142
-3,337266
-0,054004
5,406021
2,191716
-2,958862
2,340472
-3,107044
4,539552
1,891880
-0,600096
-2,900423
0,055620
-1,813036
5,575322
-3,382063
-2,791112
-0,122380
-2,325026
-2,751401
-0,304493
-2,896965
-3,050757
1,627797
-1,336646
-2,642258
-3,201276
-2,976982
2,147119
5,052711
-2,360122
2,483498
1,792379
2,028148
-2,534523
1,918138
-3,775973
4,736591
-3,103486
-2,880599
2,371862
-3,438984
5,479029
-3,871223
-2,593008
2,555168
-2,841326
-2,012844
-3,777352
2,307498
0,266412
4,503258
-3,431555
-2,936150
5,812113
2,034718
-2,496608
-3,008158
-0,265779
-1,184174
1,232211
-1,531235
0,750696
-2,671722
2,452580
-2,996376
-3,035942
-2,428537
-2,748574
-0,120124
0,271799
0,197199
6,002871
-0,751860
0,547376
1,964527
-4,189965
-3,628149
-2,794368
-0,238177
4,315175
-2,191075
-2,608929
-2,268459
0,999951
5,252342
-3,351238
0,374211
-2,953066
1,366036
6,623896
-3,475452
2,606161
5,117554
-2,711778
-2,989015
-0,124479
-1,434722
-2,598502
-0,646263
-0,283386
-2,795212
-0,597728
0,291710
-2,784167
-3,271113
